DateAware,DateSubmitted,BreachCause,DateStart,DateEnd,BreachedEntity,CyberattackType,ResidentsAffected,IndustryType,Year,DaysToContainBreach,DaysOfExposure,DaysElapsedBeforeNotification,StateAffected,Id,BusinessType,Year,YearText,WashingtoniansAffectedRange,BreachLifecycleRange,DaysToIdentifyBreach,DaysBreachLifecycle,DiscoveredInProgress,DaysElapsedBetweenEndAndDiscovery,EndedOnDayDiscovered,DaysOfExposureRange,EntityState
1/29/21,3/5/21,Cyberattack,1/28/21,1/31/21,American Armed Forces Mutual Aid Association,Unclear/unknown,"4,318",Non-Profit/Charity,"2,021",2,3,35,WA,"10,414",,"2,021",2021,"1,000-9,999",Jan-99,1,3,TRUE,,FALSE,Jan-99,
10/15/20,4/4/21,Cyberattack,10/6/20,10/15/20,"RXLTC, PLLC & Prescription Pharmacy, PLLC",Phishing,560,Health,"2,021",0,9,171,WA,"10,415",,"2,021",2021,500-999,Jan-99,9,9,TRUE,,TRUE,Jan-99,
10/16/19,11/14/19,Unauthorized Access,7/9/19,10/9/19,"Green Roads of Florida, LLC",,540,Business,"2,020",0,92,29,WA,"10,416",Consumable,"2,020",2020,500-999,Jan-99,99,99,FALSE,7,FALSE,Jan-99,
1/19/21,3/5/21,Cyberattack,12/1/20,1/20/21,Metromile Insurance Company,Malware,"1,400",Finance,"2,021",1,50,45,WA,"10,418",,"2,021",2021,"1,000-9,999",Jan-99,49,50,TRUE,,FALSE,Jan-99,
11/20/20,3/10/21,Unauthorized Access,11/7/20,11/8/20,"Mead Johnson & Company, LLC",,"2,828",Business,"2,021",0,1,110,WA,"10,419",Consumable,"2,021",2021,"1,000-9,999",Jan-99,13,13,FALSE,12,FALSE,Jan-99,
2/4/21,3/10/21,Cyberattack,,,Public Utility District No. 1 of Skagit County,Ransomware,"23,935",Government,"2,021",,,34,WA,"10,420",,"2,021",2021,"10,000-49,999",Unknown,,,FALSE,,FALSE,Unknown,
3/9/21,3/11/21,Cyberattack,,,Pan-American Life Insurance Group,Phishing,599,Finance,"2,021",,,2,WA,"10,421",,"2,021",2021,500-999,Unknown,,,FALSE,,FALSE,Unknown,
12/3/20,3/11/21,Cyberattack,11/8/20,12/3/20,Perkins & Co,Ransomware,"41,871",Finance,"2,021",0,25,98,WA,"10,422",,"2,021",2021,"10,000-49,999",Jan-99,25,25,TRUE,,TRUE,Jan-99,
6/1/20,3/11/21,Cyberattack,,,Security Industry Specialists,Ransomware,"2,264",Business,"2,021",,,283,WA,"10,423",Other,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
11/29/20,3/15/21,Cyberattack,,,American Health Care Academy,Malware,"1,211",Health,"2,021",,,106,WA,"10,424",,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
1/24/21,3/15/21,Cyberattack,,,"Flagstar Bank, FSB",Malware,"61,006",Finance,"2,021",,,50,WA,"10,425",,"2,021",2021,"50,000-999,999",Unknown,,,FALSE,,FALSE,Unknown,
12/26/20,3/16/21,Unauthorized Access,,12/26/20,Infinity Insurance Company,,606,Finance,"2,021",0,,80,WA,"10,426",,"2,021",2021,500-999,Unknown,,,TRUE,,TRUE,Unknown,
2/4/21,3/17/21,Cyberattack,2/4/21,2/8/21,Automatic Funds Transfer Services Inc.,Ransomware,695,Finance,"2,021",4,4,41,WA,"10,427",,"2,021",2021,500-999,Jan-99,0,4,TRUE,,FALSE,Jan-99,
12/20/19,3/17/21,Cyberattack,,,PCS Revenue Control Systems,Phishing,"11,807",Business,"2,021",,,453,WA,"10,428",Professional Services,"2,021",2021,"10,000-49,999",Unknown,,,FALSE,,FALSE,Unknown,
2/22/21,3/17/21,Cyberattack,12/24/20,12/29/20,Western Union Retail Money Transfer Partner,Malware,"1,555",Finance,"2,021",0,5,23,WA,"10,429",,"2,021",2021,"1,000-9,999",Jan-99,60,60,FALSE,55,FALSE,Jan-99,
5/24/20,3/18/21,Cyberattack,5/24/20,,Manson Counstruction Co.,Unclear/unknown,"1,049",Business,"2,021",,,298,WA,"10,430",Construction,"2,021",2021,"1,000-9,999",Unknown,0,,FALSE,,FALSE,Unknown,
1/18/21,3/19/21,Cyberattack,1/12/21,1/18/21,Cancer Treatment Centers of America,Phishing,579,Health,"2,021",0,6,60,WA,"10,431",,"2,021",2021,500-999,Jan-99,6,6,TRUE,,TRUE,Jan-99,
11/29/20,3/19/21,Cyberattack,11/18/20,11/29/20,"Citywide Home Loans, LLC",Ransomware,"2,407",Finance,"2,021",0,11,110,WA,"10,432",,"2,021",2021,"1,000-9,999",Jan-99,11,11,TRUE,,TRUE,Jan-99,
2/24/21,3/22/21,Theft or Mistake,2/22/21,2/24/21,"On Q Fiancial, Inc.",,"18,066",Finance,"2,021",0,2,26,WA,"10,433",,"2,021",2021,"10,000-49,999",Jan-99,2,2,TRUE,,TRUE,Jan-99,
12/4/20,3/24/21,Cyberattack,2/6/19,12/10/20,National Wildlife Federation,Malware,"3,311",Non-Profit/Charity,"2,021",6,673,110,WA,"10,434",,"2,021",2021,"1,000-9,999",500+,667,673,TRUE,,FALSE,500+,
3/2/21,4/1/21,Cyberattack,2/1/21,,"MHNext, LLC",Unclear/unknown,"7,714",Business,"2,021",,,30,WA,"10,435",Software,"2,021",2021,"1,000-9,999",Unknown,29,,FALSE,,FALSE,Unknown,
8/14/20,4/2/21,Cyberattack,,,FPI Management,Unclear/unknown,"1,022",Business,"2,021",,,231,WA,"10,436",Real Estate,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
1/7/21,4/2/21,Cyberattack,3/1/20,1/7/21,"Slate & Tell, LLC",Malware,624,Business,"2,021",0,312,85,WA,"10,437",Accessories,"2,021",2021,500-999,300-399,312,312,TRUE,,TRUE,300-399,
1/27/21,4/6/21,Cyberattack,2/7/20,5/20/20,Marines' Memorial Association & Foundation,Ransomware,"2,625",Non-Profit/Charity,"2,021",0,103,69,WA,"10,438",,"2,021",2021,"1,000-9,999",300-399,355,355,FALSE,252,FALSE,100-199,
12/29/20,4/6/21,Cyberattack,11/25/20,12/25/20,"Minnetonka Moccasin Company, Inc.",Malware,821,Business,"2,021",0,30,98,WA,"10,439",Accessories,"2,021",2021,500-999,Jan-99,34,34,FALSE,4,FALSE,Jan-99,
7/1/20,4/6/21,Cyberattack,5/26/20,7/1/20,Portland State University Foundation,Phishing,"4,216",Non-Profit/Charity,"2,021",0,36,279,WA,"10,440",,"2,021",2021,"1,000-9,999",Jan-99,36,36,TRUE,,TRUE,Jan-99,
3/11/21,4/7/21,Cyberattack,3/30/20,11/6/20,American Society for Clinical Pathology,Malware,703,Health,"2,021",0,221,27,WA,"10,441",,"2,021",2021,500-999,300-399,346,346,FALSE,125,FALSE,200-299,
11/24/20,4/8/21,Cyberattack,,,MailMyPrescriptions.com,Phishing,507,Health,"2,021",,,135,WA,"10,442",,"2,021",2021,500-999,Unknown,,,FALSE,,FALSE,Unknown,
11/8/20,4/8/21,Cyberattack,,,Nexelis Group,Ransomware,957,Health,"2,021",,,151,WA,"10,443",,"2,021",2021,500-999,Unknown,,,FALSE,,FALSE,Unknown,
9/7/20,4/9/21,Cyberattack,4/8/20,9/21/20,American College of Emergency Physicians,Unclear/unknown,"4,148",Health,"2,021",14,166,214,WA,"10,444",,"2,021",2021,"1,000-9,999",100-199,152,166,TRUE,,FALSE,100-199,
1/11/21,4/9/21,Cyberattack,,,"McDougall & Sons, Inc.",Ransomware,"5,885",Business,"2,021",,,88,WA,"10,445",Other,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
2/11/21,4/13/21,Cyberattack,,,FloForm Industries LLC,Ransomware,970,Business,"2,021",,,61,WA,"10,446",Home,"2,021",2021,500-999,Unknown,,,FALSE,,FALSE,Unknown,
11/16/20,3/4/21,Cyberattack,,,Americold Realty Trust,Ransomware,"3,337",Business,"2,021",,,108,WA,"10,413",Real Estate,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
2/9/21,3/2/21,Cyberattack,,,Northshore Utility District,Ransomware,"4,900",Government,"2,021",,,21,WA,"10,412",,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
10/20/20,3/2/21,Cyberattack,,,Cardinal Logistics Management Corp.,Ransomware,"1,308",Business,"2,021",,,133,WA,"10,411",Shipping,"2,021",2021,"1,000-9,999",Unknown,,,FALSE,,FALSE,Unknown,
1/28/21,2/27/21,Cyberattack,7/1/20,10/31/20,"Casemaker, LLC and Lawriter, LLC",Malware,"1,690",Business,"2,021",0,122,30,WA,"10,410",Legal,"2,021",2021,"1,000-9,999",200-299,211,211,FALSE,89,FALSE,100-199,
